date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:51:56	27510/27510	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:55%20GMT	https://souscription.sonaturbf.net/index.php?page=souscrire&operation=1	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/indexd8eb.html	(from https://souscription.sonaturbf.net/)
03:51:56	8250/8250	---M--	200	added ('OK')	image/jpeg	etag:%22203a-69007200-40ac6d6c4a145839;;;%22	https://souscription.sonaturbf.net/assets/images/garango.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/garango.jpg	(from https://souscription.sonaturbf.net/)
03:51:56	27510/27510	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:56%20GMT	https://souscription.sonaturbf.net/index.php?page=souscrire&operation=2	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/indexdbb6.html	(from https://souscription.sonaturbf.net/)
03:51:56	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/orodara.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/orodara.jpg	(from https://souscription.sonaturbf.net/)
03:51:57	27510/27510	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:51:57%20GMT	https://souscription.sonaturbf.net/index.php?page=souscrire&operation=3	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/indexc83c.html	(from https://souscription.sonaturbf.net/)
03:51:57	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/about-image.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/about-image.jpg	(from https://souscription.sonaturbf.net/)
03:51:57	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/testimonial-1.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/testimonial-1.jpg	(from https://souscription.sonaturbf.net/)
03:51:57	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/testimonial-2.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/testimonial-2.jpg	(from https://souscription.sonaturbf.net/)
03:51:58	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/images/testimonial-3.jpg	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/images/testimonial-3.jpg	(from https://souscription.sonaturbf.net/)
03:52:01	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f9f4fe75a479f74d;gz%22	https://souscription.sonaturbf.net/assets/css/styles.css	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/assets/css/styles.css	(from https://souscription.sonaturbf.net/)
03:52:01	11231/11231	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:52:01%20GMT	https://souscription.sonaturbf.net/index.php?page=apropos	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/indexee88.php	(from https://souscription.sonaturbf.net/)
03:52:02	15218/15218	---M--	200	added ('OK')	image/png	etag:%223b72-69007200-6e43271590ff81f4;;;%22	https://souscription.sonaturbf.net/somature.png	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/somature.png	(from https://souscription.sonaturbf.net/index.php?page=souscrire)
03:52:03	23275/23275	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:52:02%20GMT	https://souscription.sonaturbf.net/index.php?page=conditions	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/index9753.html	(from https://souscription.sonaturbf.net/index.php?page=souscrire)
03:52:12	27510/27510	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Nov%202025%2002:52:12%20GMT	https://souscription.sonaturbf.net/souscrire	C:/Users/Instal/Desktop/SONATUR%20INNOVAIA2025/souscription.sonaturbf.net/souscrire	(from https://souscription.sonaturbf.net/)
